,CircleNum,ID,Name,Lat,Lng,CategoryID,Category
0,2,4e120e43483bee47ff374fd6,LeGault Peak,39.533424,-105.26492,4bf58dd8d48988d159941735,Trail
1,5,5e73d7ea7e4be2000876cec3,Victory Mechanical Services,39.53441,-105.23047,545419b1498ea6ccd0202f58,Home Service
2,10,4c3528ab4308b7136d9ec430,Scapegoat Ranch,39.52635193,-105.1724548,4bf58dd8d48988d1e1931735,Arcade
3,11,4c3528ab4308b7136d9ec430,Scapegoat Ranch,39.52635193,-105.1724548,4bf58dd8d48988d1e1931735,Arcade
4,12,4dd9373bae60680f1531fef7,Plymouth Mtn Trailhead,39.53016119,-105.1566459,4bf58dd8d48988d159941735,Trail
5,12,4dd6c6f02271c5d36d2af543,Black Bear Trailhead,39.531383,-105.153325,4bf58dd8d48988d159941735,Trail
6,17,509727fae4b000bd218244df,American Airlines Flight 3675,39.52959442,-105.0964966,4f2a23984b9023bd5841ed2c,Moving Target
7,18,509727fae4b000bd218244df,American Airlines Flight 3675,39.52959442,-105.0964966,4f2a23984b9023bd5841ed2c,Moving Target
8,19,5ec05fe1beb2b8000710e152,Wildlife Viewing Area,39.526505,-105.0767,52e81612bcbc57f1066b7a13,Nature Preserve
9,20,4fa2ef6de4b018dc4670753e,Chatfield R/C Airfield,39.53147106,-105.0609443,56aa371be4b08b9a8d57352f,Airport Service
10,20,4fde6867e4b0f11e35e6c958,Chatfield Stables,39.533989,-105.071293,4eb1baf03b7b2c5b1d4306ca,Stables
11,20,5365a7c611d2560b1fe6e540,Golden Pack 48 Campground,39.53603745,-105.0649643,4bf58dd8d48988d1e4941735,Campground
12,21,4fa2ef6de4b018dc4670753e,Chatfield R/C Airfield,39.53147106,-105.0609443,56aa371be4b08b9a8d57352f,Airport Service
13,23,4e51b3f7c65bb313baa612dd,Boone Boat,39.53102108,-105.0328857,4bf58dd8d48988d12d951735,Boat or Ferry
14,23,5e7a8318c9078900087a98bd,Highline Canal Trail - Milepost 10,39.525929,-105.030074,56aa371be4b08b9a8d57355e,Bike Trail
15,23,4df53089a809141629a886d5,Snoozing Dogs Farm,39.534866,-105.030046,4bf58dd8d48988d1fa941735,Farmers Market
16,24,4e2e457322717d705855140c,Spring Gulch Park,39.52780731,-105.015166,4bf58dd8d48988d163941735,Park
17,24,4ccc44dc97d0224baad65eb8,Plum Valley Park,39.53051356,-105.0251013,4bf58dd8d48988d163941735,Park
18,25,4e2e457322717d705855140c,Spring Gulch Park,39.52780731,-105.015166,4bf58dd8d48988d163941735,Park
19,25,4ced72f7e5569eb0e988b55d,Great Clips,39.53594772,-105.0138527,4bf58dd8d48988d110951735,Salon / Barbershop
20,25,4f0286bcf9abd5b393142d2b,Highlands Ranch Moose Crossing,39.52585371,-105.0116794,4bf58dd8d48988d159941735,Trail
21,25,577698cf498e57bfa617fcf7,Foothills trail,39.528492,-105.00607,56aa371be4b08b9a8d57355e,Bike Trail
22,25,4bae4f01f964a520c6a03be3,My Favorite Muffin,39.53561866,-105.0143636,4bf58dd8d48988d143941735,Breakfast Spot
23,25,4d5048afbd6ff04d4468e60c,Abo's Pizza,39.53558842,-105.0149284,4bf58dd8d48988d1ca941735,Pizza Place
24,26,5491d61b498ed15ee26e4f7b,Images Everything LLC,39.527496,-104.998451,52f2ab2ebcbc57f1066b8b28,Print Shop
25,26,4bd844ed5cf276b084ce9c00,Saddle Ranch Elementary,39.53199949,-104.9970318,4f4533804b9074f6e4fb0105,Elementary School
26,26,577698cf498e57bfa617fcf7,Foothills trail,39.528492,-105.00607,56aa371be4b08b9a8d57355e,Bike Trail
