,CircleNum,ID,Name,Lat,Lng,CategoryID,Category
0,0,4d95e6de2bd6f04df7f72850,Shanahan Ridge Trail,39.965275643681366,-105.28624688268731,4bf58dd8d48988d159941735,Trail
1,0,4fbfd519e4b0117b72fee705,Mesa Trail,39.97949654792106,-105.28092752890394,4bf58dd8d48988d159941735,Trail
2,0,4ba667abf964a520ee4e39e3,Royal Arch,39.98198877082445,-105.29143364745656,4bf58dd8d48988d165941735,Scenic Lookout
3,0,4bd49c796798ef3b3202628d,Bear Peak,39.96031626733062,-105.29515350543764,4bf58dd8d48988d159941735,Trail
4,0,4c03fa3ef423a59398f3d016,Mallory Cave,39.974259001692786,-105.28927550106887,4bf58dd8d48988d159941735,Trail
5,0,5a0606e5da2e004fbd8d1810,Walter Orr Roberts Weather Trail,39.977338,-105.2752,4bf58dd8d48988d159941735,Trail
6,0,5a05f0a5e075500ceb16d03c,NCAR Visitor Center,39.978066,-105.275313,4bf58dd8d48988d191941735,Science Museum
7,1,4d95e6de2bd6f04df7f72850,Shanahan Ridge Trail,39.965275643681366,-105.28624688268731,4bf58dd8d48988d159941735,Trail
8,1,4fbfd519e4b0117b72fee705,Mesa Trail,39.97949654792106,-105.28092752890394,4bf58dd8d48988d159941735,Trail
9,1,4b59df5ff964a520649d28e3,NCAR Mesa Lab,39.97922278353665,-105.27489758329907,4bf58dd8d48988d159941735,Trail
10,1,4c7ff6da47cc224bffcf6e9f,Bear Canyon Trail,39.975725199516894,-105.26688466227736,4bf58dd8d48988d159941735,Trail
11,1,5a0606e5da2e004fbd8d1810,Walter Orr Roberts Weather Trail,39.977338,-105.2752,4bf58dd8d48988d159941735,Trail
12,1,5a05f0a5e075500ceb16d03c,NCAR Visitor Center,39.978066,-105.275313,4bf58dd8d48988d191941735,Science Museum
13,1,4c03fa3ef423a59398f3d016,Mallory Cave,39.974259001692786,-105.28927550106887,4bf58dd8d48988d159941735,Trail
14,1,5027ed52e4b092aac684d6a9,The Flatirons,39.97962065308238,-105.27446320691573,4bf58dd8d48988d159941735,Trail
15,1,4e135f4eb61c637b97bf041f,Devil's Thumb Pool,39.973692389044324,-105.26453755874807,4bf58dd8d48988d105941735,Gym Pool
